210-AAYY,Dell Precision M4800 CTO Base
,部件号码,说明,数量
,6337P,"LABEL, SVC TAG/EXPRESS CODE, LATC",1
370-AAUV,"32GB (4x8GB) 1600MHz DDR3L, MP WS"
,部件号码,说明,数量
,N2M64,"DUAL IN-LINE MEMORY MODULE, 8GB, 1600, 2RX8, 4G, DDR3L, S",4
620-AACT,Windows 8 Home/PRO (64Bit) DVD
,部件号码,说明,数量
,CY2KJ,"KIT, SOFTWARE, W8H/P64, MUL24",1
338-BCPS,"4th Generation Intel Core i7-4 930MX Processor Extreme Editio n (3.0GHz, 8M cache, Upgradabl e to Intel vPro)"
,部件号码,说明,数量
,DNWKK,"PROCESSOR, HSW, I7-4930MX, 3.0, 57W, P, C0",1
429-AAHU,8X DVD+/-RW Drive Slot Load
,部件号码,说明,数量
,1TMWP,"BRACKET, OPTICAL DEVICE DRIVE, Mobile Precision Workstation, M4700/M6700",1
,7NYW0,"DVD+/-RW, 8X, 9.5, HITACHI LG DATA STORAGE, Mobile Precision Workstation",1
,4270E,"SCREW, M2X3, K SCREW HEAD, MICROSOFT, BLACK OXIDE",2
,63PDH,"SCREW, M2.5X5, PHILLIPS HEAD, THREAD FORMED, BCS",1
451-BBDJ,9-cell (97Wh) Lithium Ion batt ery with ExpressCharge
,部件号码,说明,数量
,4HJXX,"BATTERY, PRIMARY, 97WHR, 9C, LITHIUM, SIMPLO",1
555-BBJQ,Intel Centrino Ultimate-N 6300  802.11n 3x3 Half Mini Card
,部件号码,说明,数量
,4W00N,"CARD (CIRCUIT), WIRELESS, HMCRD, 6300, HF",1
,RXX5F,"LABEL, REGULATORY, WIRELESS, 6300, L/P",1
,4270E,"SCREW, M2X3, K SCREW HEAD, MICROSOFT, BLACK OXIDE",1
450-AAUO,US Power Cord
,部件号码,说明,数量
,K2490,"CORD, POWER, 125V, 6F, ALTERNATING CURRENT, 3W, PROPOSITION 65, UNITED STATES",1
490-BBLC,NVIDIA Quadro K1100M w/2GB GDD R5
,部件号码,说明,数量
,51Y08,"ASSEMBLY, CARD (CIRCUIT), GRAPHICS, N15P-Q1",1
,CF7NG,"ASSEMBLY, HEATSINK, VIDEO GRAPHICS ADAPTER, PQ1, M4800",1
319-BBBW,Bezel cam/mic HD+/FHD
,部件号码,说明,数量
,VWYR5,"BEZEL, LIQUID CRYSTAL DISPLAY, CMRA+MIC+NORM, M4800",1
,767N9,"ASSEMBLY, CAMERA, W/MIC, SALADO",1
,4270E,"SCREW, M2X3, K SCREW HEAD, MICROSOFT, BLACK OXIDE",1
346-BBES,"Smart Card Reader (Contact Onl y, No Contactless Smart Card R eader) and No Fingerprint Read er Palmrest"
,部件号码,说明,数量
,PPC0P,"CABLE, INPUT/OUTPUT, INTERNAL, KEYBOARD, M4700",1
,7M7FM,"ASSEMBLY, PALMREST, W/O FP, M4800",1
,TXMVG,"SHROUD, KEYBOARD, TRIM, PLASTIC, M4800",1
391-BBGO,39.6cm (15.6") UltraSharp FHD( 1920x1080) Wide View Anti-Glar e LED-backlit Premium Panel Gu arantee
,部件号码,说明,数量
,VCM8X,"LIQUID CRYSTAL DISPLAY, 15.6FHD, WLED, AG, CMI",1
400-AAYK,1TB (5400rpm) Hybrid HDD with 8GB Flash
,部件号码,说明,数量
,5K1VD,"HARD DRIVE, 1TB, S3, 512E, KAHV-SSH",1
